bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures	_
oui je crois que ça fait même plus l' objet de débats il y a un problème de compétitivité majeur qui explique l' effondrement productif en france	je crois que ça fait même plus l' objet de débats il y a un problème de compétitivité majeur qui explique que l' effondrement productif en france	_
et je crois évidemment qu' il y a un problème de coût du travail très important	et je crois évidemment qu' il y a un problème de coût du travail très important	_
et je me réjouis que françois hollande reconnaisse ce problème là qu' il avait nié pendant toute sa campagne cinq mois après son élection je crois qu' il était temps de découvrir ce problème là	et je me réjouis que françois hollande reconnaissent ce problème là qu' il avait nié pendant toute sa campagne cinq mois après son élection je crois qu' il était temps de découvrir ce problème là	_
ensuite il faut voir quelle solution on apporte à cette difficulté là	ensuite il faut voir quelles solutions on apporte à cette difficulté là	_
et qui doit permettre une fois encore de relancer les capacités de production en france	qui doit permettre une fois encore de relancer les capacités de production en france	_
moi je crois que la première solution celle dont j' entends parler malheureusement très peu	moi je crois que la première solution celle dont j' entends parler malheureusement très peu	_
et dont on est tous responsables droite et gauche confondues c' est la réduction des dépenses sociales	et dont on est tous responsables droite et gauche confondues c' est la réduction des dépenses sociales	_
si vous voulez éviter de faire supporter la charge sur le travail ou sur les ménages faut d' abord essayer de réduire la dépense sociale en france ça c' est la première chose avant de transférer les dépenses regardons si on peut pas les réduire	si vous voulez éviter de faire supporter la charge sur le travail ou sur les ménages faut d' abord essayer de réduire la dépense sociale en france ça c' est la première chose avant de transférer les dépenses regardons si on ne peut pas les réduire	_
ensuite on peut regarder les options je pense qu' on va en discuter pendant l' émission mais c' est la première chose alléger le coût du travail	ensuite on peut regarder des options je pense qu' on va en discuter pendant l' émission oui mais c' est la première chose alléger le coût du travail	_
ne veut pas dire forcément taxer d' abord les ménages davantage et accabler à nouveau les ménages d' impôts essayons d' abord de voir comment est ce qu' on peut dans ces cotisations réduire la dépense	veut pas dire forcément taxer d' abord les ménages davantage et accablé à nouveau les ménages d' impôts essayons d' abord de voir comment est ce qu' on peut dans ses cotisations réduire la dépense	_
alors on va d' abord voir si vous voulez bien si françois patriat est d' accord sur cette question de base il y a t il un problème du coût du travail en france	au revoir si vous le voulez bien si françois patriat est d' accord sur cette question de basse y a t il un problème du coût du travail en france	_
c' est vrai qu' on a l' habitude de dire que les socialistes	est vrai qu' on a l' habitude de dire que les socialistes	_
sont plutôt sur cette idée que c' est un problème d' innovation en france c' est pas forcément le coût du travail et qu' à l' inverse	sont plutôt sur cette idée que c' est un problème d' innovation en france et pas forcément de coût du travail et qu' à l' inverse	_
du côté de la droite parlementaire on pense plutôt qu' il y a bel et bien un un problème de coût du travail comme vient de le le dire bruno le maire	du côté de la droite parlementaire on pense plutôt qu' il y a bel et bien un problème de coût du travail comme vient de le le dire bruno le maire	_
réduire la la compétitivité uniquement aux coûts salariaux	réduire la compétitivité uniquement aux coûts salariaux	_
ça n' est pas la réalité	n' est pas la réalité	_
la france a quatre déficits actuellement	france a kate déficit actuel	_
elle a un déficit public financier énorme	un déficit public financiers énormes	_
mille mille sept cent milliards	mille six cents milliards	_
elle a un déficit d' emploi chômage qui est élevé	la difficile d' emploi chômage qui est élevé	_
elle a un déficit	un déficit	_
de compétitivité	compétitivité	_
elle a un déficit de la demande on est dans une baisse de la demande aujourd' hui	elle a un déficit de la demande on est dans une baisse de la demande aujourd' hui	_
alors que les entreprises tournent trois ou quatre points en dessous de ce qu' elles devraient tourner	alors que les entreprises tournent trois ou quatre points en dessous de ce qu' elle devrait tourner	_
alors sur la compétitivité	sur la compétitivité	_
donc vous comprenez bien que	vous comprenez bien que	_
pour redire ce pour reprendre ce que vous avez sur le président de la république la première des choses la première des choses c' est quand même déjà	redire pour reprendre ce que vous avez dit sur le devant de la république le trois la première des choses la première des choses c' est quand même des gens	_
de rétablir les comptes publics	rétablir les comptes publics	_
s' il est question de l' autorité de la france la question de sa de sa de sa potentialité	si la question de l' autorité de la france la question de de ça ça peut se potentialités	_
ensuite le chômage on en parle pas maintenant mais ça il y a quand même une réduction ensuite le coût du travail alors j' entends bien je j' entends bruno le maire qui a proposé tout de suite une solution un peu idyllique	ensuite le chômage on ne parle pas maintenant mais ça il y a quand même une réduction ensuite le coût du travail alors j' entends bien j' ai j' entends bruno le maire qui a proposé tout de suite une solution un peu idyllique	_
nous ne disons pas seulement que c' est la compétitivité nous d() nous disons que le problème de la compétitivité en france est d' abord et avant tout un problème de stratégie industrielle	nous ne disons pas seulement c' est la compétitivité nous dont nous disons que le problème de la compétitivité en france et d' abord et avant tout un problème de stratégie industrielle	_
c' est différent alors pour répondre directement à bruno le maire que j' écoute toujours avec attention parce que	différents alors pour répondre directement bruno le maire j' écoute toujours avec attention parce que	_
si je ne suis pas d' accord avec lui au moins j' écoute je connais la pertinence de ses raisonnements	si je ne suis pas d' accord avec lui au moins j' écoute qu' on la pertinence de ces résonne	_
donc dire aujourd' hui baisser la dépense sociale oui c' est bien très bien on peut rêver on peut rêver qui que demain il aille faire beau tous les jours	donc dire aujourd' hui de baisser la dépense sociale oui c' est bien très bien peut rêver peut rêver qui que demain et là y faire beau tous les jours	_
moi je pense que baisser la dépense sociale avec une société	je pense que baisser la dépense sociale avec une société	_
dont l' espérance de vie augmente	dont l' espérance de vie augmente	_
avec les technologies nouvelles	avec les technologies nouvelles	_
pour l' investigation pour le traitement pour l' opération on sait bien que la dépense sociale d' abord liée au chômage	l' investigation pour le traitement pour l' opération on sait bien que la dépense sociale d' abord lié au chômage	_
sauf que là c' est le chien qui se mord la queue lié aujourd' hui au déficit que j' évoquais plus la dépense maladie à côté	que là c' est là que lier aujourd' hui au difficile que j' évoquais plus la dépense maladie écoutez	_
c' est un peu c' est certes souhaitable tout le monde doit le faire bien entendu mais ça n' est pas là là qu' est la seule solution je pense pas aujourd' hui	c' est un peu c' est certes souhaitable tout le monde doit le faire bien entendu mais ça n' est pas la la qui est là qu' est la seule solution je pense par jour	_
je d' abord moi j' écoute aussi toujours avec beaucoup de respect ce que dit françois patriat	et je devant moi j' écoute aussi toujours et beaucoup de respect ce que dit françois patriat	_
(n) d' abord parce que j' ai du respect pour lui c' est la solidarité des anciens ministres de l' agriculture ça compte et c' est très important pour avoir beaucoup souffert et aussi beaucoup appris en étant l' un comme l' autre ministre de l' agriculture	d' abord parce que j' ai du respect policia solidarité des anciens ministres de l' agriculture ça compte c' est c' est très important beaucoup souffert a beaucoup souffert et aussi beaucoup appris en étant comme le ministre de l' agriculture	_
mais je crois que sur la dépense sociale	mais je crois que sur la dépense sociale	_
que ce soit sur l' indemnisation du chômage moi j' ai fait des propositions pour réformer notre indemnisation du chômage	ce soit sur l' indemnisation du chômage moi j' ai fait des propositions pour réformer notre indemnisation du chômage	_
sur les dépenses hospitalières	sur les dépenses hospitalières	_
sur les prescriptions de médicaments on peut faire des économies	les prescriptions de médicaments on peut faire des économies	_
et je pense qu' il faut jamais sauter cette étape	et je pense qu' il ne faut jamais sauter cette étape	_
de la réduction de la dépense	la réduction de la dépense	_
on a trop tendance en france à se dire (n) la bonne solution c' est augmenter les taxes	on a trop tendance en france à se dire ben la bonne solution ces augmenter les taxes	_
sur les ménages sur les classes moyennes sur les retraités c' est trop facile	les ménages sur les classes moyennes sur les retraités c' est trop facile	_
donc moi je plaide pour un chemin effectivement un peu plus difficile qui consiste à dire regardons où on peut réduire la dépense ensuite sur	donc moi je plaide pour un chemin effectivement un peu plus difficile qui consiste à dire regardons où on peut réduire la dépense ensuite	_
donnez un exemple ou deux	un exemple ou deux	_
oui un exemple concret sur l' indemnisation du chômage moi je	un exemple concret sur l' indemnisation du chômage	_
plaisait pas mais	pas mais	_
vous avez encore un système en france d' indemnisation du chômage qui permet à certaines personnes de continuer à toucher quatre mille quatre mille deux cents euros par mois sur deux ans même si c' est une minorité	vous avez encore un système en france d' indemnisation du chômage qui permet à certaines personnes de continuer à toucher quatre mille quatre mille deux cents euros par mois sur deux ans même si c' est une minorité	_
sans avoir d' autres obligations que d' aller pointer régulièrement à pôle emploi je pense qu' on peut faire des économies là dessus mais qu' il vaut mieux	sans avoir d' autres obligations que d' aller pointer régulièrement pôle emploi je pense qu' on peut faire des économies là dessus et qu' il vaut mieux	_
avoir une meilleure formation des chômeurs qu' une indemnisation qui soit	une meilleure formation des chômeurs qu' une indemnisation qui soit	_
trop généreuse pour certains ça c' est une conviction personnelle je sais qu' elle fait l' objet de débats	généreux pour certains ça c' est une conviction personnelle je sais qu' elle fait l' objet de débats	_
mais je crois qu' on doit se poser la question sur la prescription des médicaments même chose il me semble que	mais je crois qu' on doit se poser la question sur la prescription des médicaments même chose il me semble que	_
du côté des médecins comme du côté des patients on doit pouvoir faire des économies sur les prescriptions de médicaments est ce qu' on pourrait pas pour donner un exemple très concret	côté des médecins comme du côté des patients on doit pouvoir faire des économies sur les prescriptions de médicaments je ne pourrais pas pour donner un exemple très concret	_
faire comme en allemagne où on prescrit le médicament à la pilule près au lieu de donner à chaque fois la boîte entière c' est des toutes petites économies mais c' est comme ça qu' on arrivera aussi	comme en allemagne on prescrit le médicament à la pilule près au lieu de donner à chaque fois la boîte entière c' est toutes petites économies mais c' est comme ça qu' on arrivera aussi	_
à réduire les dépenses publiques à mon sens enfin sur le constat et là je crois que françois patriat sera d' accord avec moi	réduire la dépense publique à mon sens enfin sur le constat est de là je crois que françois patriat sera d' accord avec moi	_
et notre sujet de la compétitivité des entreprises (n)	notre sujet de la compétitivité des entreprises	_
oui il y a un problème de compétitivité sur l' innovation comme vous le disiez comme le disait françois mais sur	il y a un problème de compétitivité sur l' innovation comme vous le disiez comme le disait françois mais sur	_
toutes les activités où il y a peu d' innovation où il y a un savoir faire qui est assez limité	les activités où il y a peu d' innovation il y a un savoir faire qui est assez limité	_
où il y a des technologies qui sont pas forcement les plus modernes je pense par exemple dans le secteur agricole le maraîchage	il y a les technologies qui sont pas forcément les plus moderne je pense par exemple dans le secteur agricole le maraîchage	_
la culture des fruits la culture de légumes là le coût du travail est devenu une activ() une actualité brûlante	culture des fruits la culture de légumes la le coût du travail est devenu une activité une actualité brûlante	_
un problème majeur si on ne réduit pas le coût du travail pour ces activités	un problème majeur si on réduit pas le coût du travail pour ses activités	_
dans lesquels le coût du travail représente cinquante soixante pour cent du coût final du produit mais les gens vont crever	dans lesquelles le coût du travail représente cinquante soixante pour cent du coût final du produit mais les gens vont crever	_
activité très concurrencée par les allemands	activité très concurrencés évidemment par les allemands	_
par les italiens par les espagnols mais surtout par les allemands	les italiens paris espagnol mais surtout par les allemands	_
où le coût du travail est évidemment beaucoup plus faible que le nôtre donc pour toutes ces activités où il y a peu d' innovation peu de savoir faire	où le coût du travail est évidemment beaucoup plus faible que le nôtre donc pour toutes ces activités où il y a peu d' innovation on peut savoir faire	_
mais simplement du travail manuel bien il fait il est très important à mes yeux de baisser le coût du travail pour qu' on garde nos activités qu' on garde nos maraîchers nos producteurs de fruits nos producteurs de légumes	mais simplement du travail manuel ben il fait les très important à mes yeux de baisser le coût du travail pour qu' on garde nos activités qu' on garde nos maraîchers de producteurs de fruits des producteurs de lait	_
bien alors je pense que si on parle compétitivité on va essayer de sortir de du uniquement du débat sur les dépenses sociales pour dire quel est l' enjeu	alors je pense que si on parle de compétitivité on va essayer de sortir d' une uniquement du débat sur les dépenses sociales pour dire quelle est l' enjeu	_
et là on parle du coût du travail (n)	là on parle du nain de jardin	_
alors on va prendre par exemple ceux qu' on nous cite toujours en exemple les allemands	un travail alors on va prendre par exemple ou est ce qu' on ne le suis toujours en exemple isolé	_
les allemands cent cinquante milliards d' excédents excédent commercial la france soixante dix milliards de déficit alors on dit mais c' est	allemand cent cinquante milliards d' excédant un excédent commercial la france soixante dix milliards de déficit en et l' on dit mme ici	_
la différence de salaire (n) non la différence de salaire non ils ont le même salaire hors agro alimentaire parce que il y a un problème ce qu' on évoquait en france	différence de salaire et maintenant le différences de salaires non ils ont le même salaire hors agro alimentaire parce que il y a un problème serait évoqué en france	_
est ce que les allemands travaillent plus que nous non ils travaillent trente cinq heures cinq autrement trente huit heures	ce que les allemands travaillent plus que nous non il travaille trente cinq heures cinq autrement trente huit heures	_
vous voyez c' est le produit final qui fait la différence de la compétitivité parce qu' en allemagne qu' est ce qu' ils font	vous voyez ce produit final qui fait la différence de la compétitivité parce qu' en allemagne qu' est ce qu' ils font	_
ils vont sur les produits nobles sur le produit haut de gamme sur le produit fini je prends deux exemples	ils vont sur les produits nobles sur le produit haut de gamme sur le produit fini je prends deux exemples	_
l' automobile la machine à outil	automobile la machine outil	_
est ce que nous en france	ce que nous en france	_
nous en france on est capable aujourd' hui d' aller sur ces produits haut de gamme	nous en france on est capable aujourd' hui d' aller sur ces produits 	_
est ce qu' on en est capable	ce qu' on en est capable	_
d' abord moi je crois qu' on en est tout à fait capable	abord bon je crois qu' on en est tout à fait capable	_
je crois aussi que ce qu' oublie de mentionner françois patriat c' est la tendance	je crois aussi que ce qu' oublie de pensionnés françois patriat c' est la tendance	_
(h) il y a dix ans nous avions un avantage par rapport aux allemands sur le coût du travail	il y a dix ans nous avions un avantage par rapport aux allemands sur le coût du travail	_
on était bien meilleur qu' eux	on était bien meilleur que	_
on avait un coût du travail qui était inférieur de quinze pour cent environ au coût du travail allemand aujourd' hui on est quasiment au même niveau	on avait un coût du travail qui était inférieur de quinze pour cent environ au coût du travail allemand aujourd' hui on est quasiment au même niveau	_
sauf dans les activités effectivement comme l' agroalimentaire où on a pris du retard	sauf dans les activités effectivement comme l' agroalimentaire on a pris du retard	_
et si on continue comme ça (n) dans dix ans on sera totalement dépassé donc je crois que ce choc de compétitivité sur le coût du travail est nécessaire	et si on continue comme ça mais on en disant on saura totalement dépassés donc je crois que ce choc de compétitivité sur le coût du travail est nécessaire	_
là où je rejoins entièrement françois patriat c' est que il faut une stratégie de long terme sur la compétitivité	là où je rejoins entièrement françois patriat c' est que il faut une stratégie de long terme sur la compétitivité	_
et la stratégie de long terme pour la france il y a la réduction du coût du travail pour moi c' est un préalable absolu	est la stratégie de long terme pour la france il y a la réduction du coût du travail pour moi c' est un préalable absolu	_
mais il y a ensuite	mais il y a ensuite	_
se mettre sur les produits haut de gamme avec de la qualité avec de l' innovation avec la marque france le label france	mettre sur les produits haut de gamme avec de la qualité de innovation avec un marque france le label france	_
et et moi je veux dire à quel point il y a toutes les ressources qu' il faut en france pour y arriver lorsqu' on se donne le mal nécessaire regardez une marque comme citroën	et et moi je veux dire à quel point il y a toutes les ressources qu' il faut en france pour y arriver lorsqu' on se donne le mal nécessaire regardez une marque comme citroën	_
on disait c' est une marque vieillissante un peu datée ils font des voitures maintenant formidable la ds3 la ds4	on disait c' est une marque vieillissant d' un peu daté ils font des voitures maintenant formidable destroyer dsk	_
qui séduisent de plus en plus de monde regardez dans le monde agricole ce qui a été possible de faire dans le domaine viticole	qui séduisent de plus en plus de monde regarder dans le monde agricole ce qui était possible de faire dans le domaine viticole	_
ils ont réussi à monter en gamme regardez les vins du languedoc roussillon	ils ont réussi à monter en gamme regardez les vins du languedoc roussillon	_
ils sont montés en gamme ils ont acquis une qualité un label formidable ça marche donc ne désespérons pas si presque aussi bon que le bourgogne mais je vais insulter la bourgogne là dessus simplement si on fait ce choix là on va y arriver	sont montés en gamme ils ont acquis une qualité un label formidable ça marche donc ne désespère on parle bourgogne si presque aussi bon bourgogne mais je veux pas insulter la bourgogne là dessus simplement science fait ce choix là on va y arriver	_
bien alors je continue mon exemple pour y revenir parce que	alors je continue mon exemple il pourrait revenir parce que	_
ce que dit monsieur ce que dit bruno le maire actuellement ministre c' est pas exactement ce que dit globalement la droite	ce que dit monsieur ce que dit bruno le maire actuellement n' y est c' est pas exactement ce que dit globalement la droite	_
la droite dit c' est le prix du travail c' est le prix bien	vendredi c' est le prix du travail c' est le bien	_
je ne nie pas aujourd' hui pour faire la part des choses qu' il y a des charges qui pèsent sur le travail qui ne devraient pas peser sur lui	je ne me dit pas aujourd' hui pour faire la part des choses qu' il y a des charges qui pèsent sur le travail qui ne devrait pas peser sur lui	_
exemple	<unk>	_
exa() exemple les allocations familiales alors un exemple ça ne dure il y a des charges	exemple les allocations familiales voilà un exemple ça dont il y a des charges	_
le charges sociales autrement vous savez arriver à enlever les charges sociales les états unis le font ils disent vous avez votre salaire messieurs puis après vous prenez en charge votre santé on voit bien les difficultés que ça a créées mais pour l' allemagne	charge sociale autrement c' était arrivé enlever les charges sociales des etats unis le font et disent vous avez votre salaire messieurs puis après vous prenez en charge votre santé on voit bien les difficultés que ça a créé mais pour l' allemagne	_
cette dérèglementation c' est quoi au bout du compte parce qu' on dit c' est un exemple c' est deux millions et demi de salariés qui gagnent cinq euros de l' heure	cette déréglementation c' est quoi au bout du compte parce qu' on est un exemple ces deux millions ennemi salarié qui gagne cinq euros de l' heure	_
cinq euros de l' heure et c' est pas de smic	cayrol et c' est pas le smic	_
donc cette logique de dire uniquement c' est le coût du travail c' est cette c' est pas la bonne réponse parce que la bonne réponse ça veut dire qu' on va moyenner les produits français	donc c' est logique de dire uniquement c' est du travail c' est c' est cet c' est pas la bonne réponse parce que la bonne réponse c' est bon ça veut dire qu' on va moyen et les produits français	_
qu' on va créer des chocs sur le revenu donc le président de la république	on va créer des chocs sur le revenu donc le président la république	_
qui d' abord dans un premier temps a dit rétablissons la les comptes redonnons nous des marges	est d' abord dans un premier temps a dit rétabli sont là les comptes redoux non ou des marges	_
en revenant à trois pour cent du déficit et c' est c' est douloureux avec un effort partagé et ciblé	en revenant à trois pour cent de déficit et c' est c' est tout heureux avec un effort partagé et ciblée	_
dit maintenant ok je mets je remets les pendules à l' heure et c' est nécessaire	qui maintenant ok je mais je remet les pendules à l' heure c' est nécessaire	_
il y va de notre indépendance mais dans le même temps je pense aussi qu' il y a une demande sur la compétitivité et pour ce faire pour ce faire il a nommé monsieur gallois	il va de notre indépendance mais dans le même temps je pense aussi qu' il y a une demande sur la compétitivité efforce de faire pour ce faire il a nommé monsieur gallois dont	_
alors louis ga(llois) qui est pas n' importe qui (n) ancien patron d' eads de la sncf (n) il y a ce serait	pour ma part qui pas n' importe qui voilà bien un ancien patron de adsl la sncf ce serait	_
malheureux de dire qu' il ne connaît pas l' industrie française son rapport est très attendu	malheureux de guerre qui ne connaît pas l' industrie française son rapport est très attendu	_
mais par ailleurs le ne notre confrère du monde a déjà donné des pistes de travail que serait en train d' explorer	mais par ailleurs le ne notre confrère du monde a déjà des données des pistes de travail que serait en train d' explorer	_
l' élysée donc une baisse massive des charges patronales on parle de trente à cinquante milliards d' euros c' est considérable	l' elysée donc une baisse massive des charges patronales on parle de trente à cinquante milliards d' euros c' est considérable	_
étalés sur le quinquennat étalés sur le quinquennat et qui toucheraient en priorité les salaires allant de	a lire sur les cinq nina quarante milliards sur sa étalé sur le quinquennat et qui toucheraient en priorité les salaires l' an deux	_
deux mille trois cents à trois mille deux cents euros bonne piste de travail	mille trois cents à trois mille deux cents euros pistes de travail	_
mauvaise piste de travail piste de travail incomplète	mauvais auspices de travail puissent de travailler incomplète	_
c' est une piste	est une piste	_
elle me paraît judicieuse attendons que monsieur gallois remette	me paraît judicieuse attendant monsieur gallois remet son rapport	_
après ce que la question sur le constat (n)	après que la question sur le constat hein	_
on est tous	est tout	_
on est d' accord sur le constat la compététivité	est d' accord sur le constat la compétitivité	_
tout le problème entre nous aujourd' hui donne sur les remèdes	le problème entre nous aujourd' hui donne sur les remèdes	_
remède ici j' en ai entendu tout à l' heure quelques propositions	promet d' ici j' en ai entendu tout à l' heure quelques propositions	_
il faudra trouver ces dix ces quarante milliards on va dire quarante milliards sur cinq ans	il faudra trouver six dix six quarante milliards on va dire quarante milliards sur cinq ans	_
ou est ce qu' on les trouve j' entends beaucoup de propositions j' ai entendu ce que disent certains ministres ce que disent certains responsables politiques	est ce qu' on les trouve j' entends beaucoup propositions j' ai entendu ce que disent certains ministres ce que disent certains responsables politiques	_
csg pas csg tfv tva pas tva banque ou pas banque immobilier ou pas immobilier	j' ai pas siégé tv tv rebâtir un banc coupable que immobilier ou pas immobile oui	_
je vais en p() donner une autre moi je pense que pour cette ressource il y a peut être une chose importante	v on peut donner une autre je pense que pour cette ressource il y a peut être une chose importante	_
c' est d' abord la fiscalité écologique qui est balbutiante dans notre pays première chose deuxième piste je suis de ceux qui crois mais je pense qu' on pourrait non mais une taxe deuxièmement une taxe	c' est d' abord la fiscalité écologique qui est balbutiante dans notre pays première chose donc une deuxième piste je suis je suis de droite pensent qu' opel écologique non mais tacna troisièmement une taxe	_
peut être une taxe qui serait aussi une taxe écologique en tout cas une taxe sur les bas coûts sur les produits hors europe	peut être une taxe qui serait aussi une taxe écologique en tout cas une taxe sur les bakou sur les produits hors europe	_
parce que vous savez qu' il y a aujourd' hui des produits hors europe une empreinte carbone	parce que vous savez qu' il y a aujourd' hui il produit en europe une empreinte carbone	_
je vois aujourd' hui quand je vois arriver dans le lycée de bourgogne	voit aujourd' hui quand je vois arriver dans les lycées de bourgogne	_
des oignons qui arrivent de chine parce qu' ils sont moins chers imaginez la taxe carbone l' empreinte donc je crois que l' europe c' est à l' europe de saisir ça pour nous aider en chemin ils pourraient faire aux frontières de l' europe	des zones ion qui arrivent de chine parce qu' ils sont moins cher imaginez la taxe carbone l' empreinte donc je crois que l' europe c' est à l' europe de saisir sable pour nous aider le chemin il pourrait faire aux frontières de l' europe	_
une forme de protectionnisme européen sur les produits venus de l' extérieur	de protectionnisme européen sur les produits laitiers	_
au nom de l' empreinte carbone je crois que c' est une prise que l' europe peut peut évoquer aujourd' hui dernière chose sur ce sujet	non l' empreinte carbone je crois que c' est une puisque l' europe est évoquée aujourd' hui dernière chose sur ce sujet	_
la compétitivité de l' allemagne s' est faite de façon intra européenne	la compétitivité de l' allemagne s' est fait de façon intra européenne	_
pour les pays de l' est au profit des pays de l' ouest c' est à dire que c' est pas sur son territoire que l' allemagne	les pays de l' est au profit des pays de l' ouest c' est à dire que c' est pas sur son territoire que l' allemagne	_
a gagné en compétitivité c' est sur les pays de l' est à bas coûts	à gagner en compétitivité c' est sur les pays de l' est à bas coût	_
bas coûts où elle est allée chercher la croissance	de la bakou où elle est allée chercher la croissance	_
extérieure elle est allée chercher de la croissance concurrentielle au lieu d' aller chercher de la croissance interne à l' europe	extérieur elle est allée chercher de la croissance concurrentiel au lieu de les chercher de la croissance interne alors	_
bruno le maire d' abord sur ce qui pourrait émerger on nous le promet des mesures à la fin de l' année (n) une baisse massive des charges patronales	le maire d' abord sur ce qui pourrait émerger on nous le promet des mesures à la fin de l' année un une baisse massive des charges patronales	_
tout d' abord l' ordre de grandeur me paraît le bon c' est à dire qu' il faut être entre trente à cinquante milliards d' euros pour que ce soit vraiment significatif	abord l' ordre de grandeur me paraît le bon c' est à dire qu' il faut être entre trente à cinquante milliards d' euros pour que ce soit vraiment significatif	_
en dessous on n' est plus dans le choc de compétitivité or l' objectif stratégique c' est	en dessous on est plus dans le choc de compétitivité hors l' objectif stratégique c' est	_
restaurer la compétitivité pour maintenir la production et les emplois productifs agricoles ou industriels en france c' est une priorité absolue parce que le pays est en train de se vider de son sang productif	restaurer la compétitivité pour maintenir la production et des emplois productifs agricoles ou industriels en france c' est une priorité absolue parce que le pays est en train de se vider de son sang productif	_
le premier outil pardonnez moi d' insister là dessus la réduction de la dépense on ne peut pas sauter cette étape là	pardonnez moi d' insister là dessus la réduction de la dépense on ne peut pas sauter cette étape la	_
et dire immédiatement on va taxer les uns on va taxer les autres c' est trop facile il y a des marges de manoeuvre sur la réduction de la dépense après est ce qu' il faut de la fiscalité écologique de la csg de	dire immédiatement on va taxer les hein on va taxer des autres c' est trop facile il y a des marges de manoeuvre sur la réduction de la dépense après ce qu' il faut de la fiscalité écologique de la csg ou de	_
pense que ça fait partie des pistes intéressantes passer d' une fiscalité qui est encore balbutiante	pense que ça fait partie des pistes intéressantes c' est une fiscalité qui est encore balbutiante	_
et on doit pouvoir effectivement la faire progresser	on doit pouvoir effectivement la faire progresser	_
ensuite s' il reste un choix à faire entre csg et tva	ensuite s' il reste un choix fait entre csg tva	_
moi mon choix il est tout fait les deux sont douloureux	moi mon choix il est tout fait les deux sont douloureux	_
(n) les deux sont difficiles	les deux sont difficiles	_
pour les français pour ceux qui nous regardent	pour les français mais ce qui nous regardent français	_
et c' est bien pour ça que j' insiste sur la réduction de la dépense	et c' est bien pour ça que j' insiste sur la réduction de la dépense	_
mais entre les deux je préfère une augmentation de la tva à une augmentation de la csg	entre les deux je préfère une augmentation de la tva à une augmentation de la csg	_
pour deux raisons la première c' est que	deux raisons la première c' est que	_
la tva permet de taxer les produits importés ça je crois que c' est très important quand on voit	la tva permet de taxer les produits importés ça je crois que c' est très important quand on voit	_
le nombre d' importation en france pouvoir taxer les produits réalisés à l' étranger grâce à la tva c' est bien	nombre d' importation en france pour taxer les produits réalisés à l' étranger grâce à tva c' est bien	_
alors que la csg ne taxe que les revenus des ménages ou les revenus des retraités	que la csg de taxes que les revenus des ménages où les revenus des retraités	_
le deuxième avantage c' est que	le deuxième avantage c' est que	_
lorsqu' on regarde ce que touche la tva ce que touche la csg la tva touche aussi les entreprises touche	on regarde ce que touche la tva ce que touche la csg la tva touche aussi les entreprises touchées	_
aussi les collectivités la csg ne touche que les ménages que les français qui travaillent ou qui sont retraités	si les collectivités la csg ne touche que les ménages que les français qui travaillent ou qui sont retraités	_
donc je préfère cette solution de la tva à la solution de la csg une fois encore avec cette	je préfère cette solution de la tva la solution la csg une fois encore et que cette	_
double réserve la première c' est que on peut imaginer effectivement une fiscalité écologique intéressante je trouve que ça vaut le coup de travailler là dessus je trouve que c' est une piste intéressante et la deuxième c' est que n' oublions pas ce que à chaque fois on met de côté à chaque fois on oublie on peut réduire la dépense	double réserve la première c' est que on peut imaginer effectivement une fiscalité écologique intéressant je que ça vaut le coup travailler là dessus je crois que c' est une piste intéressante et la deuxième c' est que n' oublions pas ce que à chaque fois on met de côté à chaque fois on oublie on peut réduire la dépense	_
alors réduire la dépense c' est intéressant je vais être un peu polémique avec bruno le maire le polémiste	réduire la dépense intéressant et très peu polémiques avec bruno le maire de polémiste	_
le mérite de ce gouvernement critiqué dans d' autres rôles	le mérite de ce gouvernement critiqué dans votre rôle	_
c' est quand même dans un premier temps de réduire la dépense publique pour la première fois de dix milliards d' euros	c' est quand même dans un premier temps de réduire la dépense publique pour la première fois de dix milliards d' euros	_
le président de la république est nouvellement élu il dit je vais réduire la dépense de dix milliards rappelez vous	président la république et nouvellement élue je vais réduire la dépense dix milliards rappelez vous	_
de deux mille sept	deux mille sept	_
la première chose qu' avait fait le président sortant c' est de créer la loi tepa	première chose qui avait fait le président sortant c' est de créer la loi tepa	_
qui entraînait un certain nombre de niches fiscales qui a coûté quinze milliards à l' époque et dont on disait que ça allait créer un choc de croissance	entraînait son nombre de niches fiscales qui a coûté quinze milliards à l' époque dont on disait que ça allait créer un choc de croissance	_
et un choc de confiance il y a eu la crise je vous l' accorde mais le choc je le disais à l' époque à madame lagarde n' est pas venu	est un choc de confiance il y a eu la crise je vous l' accorde le choc je le disais à mme lagarde à l' époque n' est pas venu	_
son gouvernement a le mérite aujourd' hui de dire trente milliards dix milliards d' économies première chose ensuite dix milliards sur les entreprises et dix milliards sur les ménages et sur les ménages les plus aisés	gouvernement a le mérite aujourd' hui de dire trente milliards dix milliards d' économies première chose ensuite dix milliards sur les entreprises et dix milliards sur les ménages et sur les ménages les plus aisés	_
enfin vingt milliards d' impôts et dix milliards d' économies	dix milliards d' économies	_
